name,team_x,assists,bonus,bps,creativity,goals_conceded,goals_scored,ict_index,influence,start_hour,minutes,opponent_team,opp_team_name,own_goals,penalties_missed,red_cards,selected,team_a_score,team_h_score,threat,transfers_in,transfers_out,value,was_home,yellow_cards,points,points_after
16,16,1,0,11,1.8,0,0,2.3,0.0,13,13,16,21,0,0,0,45386,1.0,1.0,22.0,4646,15913,55,0,0,4,0.0
17,15,0,0,6,3.8,1,0,3.3,1.6,11,89,2,4,0,0,0,929457,3.0,2.0,28.0,59278,280826,90,0,0,2,1.0
22,5,0,0,0,0.0,0,0,0.0,0.0,19,0,15,20,0,0,0,5504,1.0,0.0,0.0,133,1834,60,1,0,0,1.0
26,19,0,0,1,0.1,1,0,2.1,2.0,11,16,9,10,0,0,0,17103,1.0,0.0,19.0,1203,6539,59,1,0,1,1.0
27,9,0,0,2,9.9,3,0,4.0,2.0,16,77,1,1,0,0,0,13139,3.0,0.0,28.0,5379,3400,55,1,1,1,2.0
32,23,0,3,54,4.0,1,2,10.3,64.0,16,65,4,6,0,0,0,15578,3.0,3.0,35.0,3836,5521,55,1,0,13,1.0
33,16,0,2,29,2.4,1,1,5.5,33.2,13,90,16,21,0,0,0,708132,1.0,1.0,19.0,39691,292459,65,0,0,8,16.0
39,8,0,0,0,0.0,0,0,0.0,0.0,14,0,5,7,0,0,0,509,2.0,1.0,0.0,64,129,60,0,0,0,0.0
40,23,0,0,0,0.0,0,0,0.0,0.0,16,0,4,6,0,0,0,32525,3.0,3.0,0.0,1871,19810,54,1,0,0,0.0
41,20,1,0,18,11.3,0,0,4.2,22.8,19,76,3,5,0,0,0,169745,1.0,0.0,8.0,11853,96473,59,0,0,5,2.0
45,7,0,0,3,0.0,0,0,0.4,0.0,14,8,6,8,0,0,0,11543,2.0,1.0,4.0,10469,12402,55,1,0,1,0.0
44,5,0,0,2,3.1,1,0,2.9,1.2,19,90,15,20,0,0,0,158345,1.0,0.0,25.0,45880,34546,65,1,0,2,2.0
49,7,0,0,0,0.0,0,0,0.0,0.0,14,0,6,8,0,0,0,72987,2.0,1.0,0.0,7875,20185,45,1,0,0,0.0
56,20,0,3,37,4.6,0,1,6.9,41.0,19,90,3,5,0,0,0,1213775,1.0,0.0,23.0,101457,178171,84,0,0,9,2.0
60,19,0,0,5,12.0,0,0,1.9,1.8,11,73,9,10,0,0,0,52823,1.0,0.0,5.0,4271,16713,54,1,0,2,8.0
67,12,0,0,0,0.0,0,0,0.0,0.0,19,0,0,0,0,0,0,62771,1.0,3.0,0.0,3222,18055,54,1,0,0,0.0
69,8,0,0,21,6.2,1,1,8.7,36.2,14,90,5,7,0,0,0,1922282,2.0,1.0,45.0,969169,100426,73,0,0,6,6.0
72,16,0,0,0,0.0,0,0,0.0,0.0,13,0,16,21,0,0,0,2098,1.0,1.0,0.0,51,535,59,0,0,0,0.0
75,0,0,0,1,0.1,1,0,0.1,0.0,19,17,10,12,0,0,0,80665,1.0,3.0,2.0,11733,22758,59,0,0,1,1.0
84,25,0,0,0,13.1,2,0,5.6,3.2,18,28,18,24,0,0,0,69314,0.0,4.0,40.0,6195,22352,55,0,0,1,0.0
86,4,0,0,0,0.0,0,0,0.0,0.0,11,0,12,15,0,0,0,11125,3.0,2.0,0.0,10186,14135,49,1,0,0,0.0
90,14,0,0,0,0.0,0,0,0.0,0.0,15,0,8,11,0,0,0,151721,5.0,2.0,0.0,74643,88789,95,1,0,0,0.0
93,4,0,0,0,0.0,0,0,0.0,0.0,11,0,12,15,0,0,0,11677,3.0,2.0,0.0,1017,4316,49,1,0,0,0.0
94,23,0,0,3,10.6,2,0,2.0,1.2,16,24,4,6,0,0,0,17390,3.0,3.0,8.0,1377,8912,54,1,0,1,1.0
96,21,1,0,7,23.5,1,0,19.1,29.8,13,90,13,16,0,0,0,1243962,1.0,1.0,138.0,355042,88741,105,1,0,5,16.0
100,1,0,0,0,0.0,0,0,0.0,0.0,16,0,7,9,0,0,0,96053,3.0,0.0,0.0,2450,36724,45,0,0,0,0.0
107,11,0,3,82,0.5,2,3,17.7,105.2,15,84,11,14,0,0,0,1345440,5.0,2.0,71.0,71441,319061,100,0,0,17,2.0
108,5,0,0,0,0.0,0,0,0.0,0.0,19,0,15,20,0,0,0,38598,1.0,0.0,0.0,1934,15862,60,1,0,0,0.0
119,16,0,0,6,6.2,1,0,1.5,8.8,13,90,16,21,0,0,0,19628,1.0,1.0,0.0,844,6731,59,0,1,1,1.0
122,7,0,0,3,2.2,2,0,1.0,6.0,14,81,6,8,0,0,0,320684,2.0,1.0,2.0,23450,81434,59,1,0,2,2.0
123,24,0,0,0,0.0,0,0,0.0,0.0,18,0,19,25,0,0,0,603,0.0,4.0,0.0,75,134,55,1,0,0,0.0
137,1,0,0,0,0.0,0,0,0.0,0.0,16,0,7,9,0,0,0,1015076,3.0,0.0,0.0,136592,211134,45,0,0,0,0.0
138,11,0,0,2,0.3,0,0,0.0,0.0,15,5,11,14,0,0,0,28947,5.0,2.0,0.0,1230,10914,58,0,0,1,1.0
139,23,0,0,0,0.0,0,0,0.0,0.0,16,0,4,6,0,0,0,4899,3.0,3.0,0.0,268,2092,50,1,0,0,0.0
142,25,0,0,0,0.0,0,0,0.0,0.0,18,0,18,24,0,0,0,24856,0.0,4.0,0.0,3589,5375,50,0,0,0,0.0
146,14,0,0,0,0.3,4,0,0.2,0.0,15,39,8,11,0,0,0,32011,5.0,2.0,4.0,29701,6722,45,1,0,1,0.0
151,19,0,0,0,0.0,0,0,0.0,0.0,11,0,9,10,0,0,0,10410,1.0,0.0,0.0,130,8245,59,1,0,0,0.0
152,25,0,0,0,0.0,0,0,0.0,0.0,18,0,18,24,0,0,0,21853,0.0,4.0,0.0,2511,8788,50,0,0,0,0.0
156,5,0,0,5,16.5,1,0,4.8,4.2,19,90,15,20,0,0,0,54686,1.0,0.0,27.0,14612,13684,50,1,0,2,1.0
162,1,0,0,0,0.0,0,0,0.0,0.0,16,0,7,9,0,0,0,6236,3.0,0.0,0.0,449,2892,59,0,0,0,0.0
164,20,0,0,2,0.1,0,0,0.1,0.4,19,13,3,5,0,0,0,131923,1.0,0.0,0.0,9259,40022,49,0,0,1,0.0
165,24,0,0,5,14.3,0,0,7.6,18.0,18,87,19,25,0,0,0,437401,0.0,4.0,44.0,27950,106538,64,1,0,2,8.0
