name,team_x,assists,bonus,bps,creativity,goals_conceded,goals_scored,ict_index,influence,start_hour,minutes,opponent_team,opp_team_name,own_goals,penalties_missed,red_cards,selected,team_a_score,team_h_score,threat,transfers_in,transfers_out,value,was_home,yellow_cards,points,points_after
396,21,2,3,48,40.3,0,1,16.8,70.0,15,90,6,7,0,0,0,131955,0.0,3.0,58.0,20517,11611,64,1,0,17,1.0
623,21,0,0,2,15.6,0,0,4.8,5.0,15,26,6,7,0,0,0,28638,0.0,3.0,27.0,921,573,59,1,0,1,0.0
100,6,2,1,25,17.6,1,0,8.7,26.8,17,90,1,1,0,0,0,31178,3.0,1.0,43.0,118,9305,53,0,0,9,2.0
484,1,0,0,11,4.3,2,0,2.2,16.6,17,75,5,6,0,0,0,1340,3.0,1.0,1.0,3,84,50,1,0,2,1.0
477,0,0,0,3,0.3,0,0,0.2,1.8,15,15,14,17,0,0,0,32112,5.0,0.0,0.0,660,2089,44,0,0,1,1.0
681,20,0,0,0,0.0,0,0,0.0,0.0,15,0,18,24,0,0,0,1658,3.0,2.0,0.0,99,67,45,0,0,0,0.0
107,1,0,0,2,1.0,1,0,1.0,0.6,17,16,5,6,0,0,0,4381,3.0,1.0,8.0,199,219,45,1,0,1,0.0
547,17,0,0,5,3.3,3,0,0.5,2.0,15,24,0,0,0,0,0,4847,5.0,0.0,0.0,29,229,48,1,0,1,2.0
39,15,0,0,0,0.0,0,0,0.0,0.0,20,0,13,16,0,0,0,786,1.0,1.0,0.0,0,2,50,0,0,0,0.0
571,6,0,0,0,0.0,0,0,0.0,0.0,17,0,1,1,0,0,0,8202,3.0,1.0,0.0,177,226,52,0,0,0,0.0
124,14,0,0,0,0.0,0,0,0.0,0.0,15,0,8,11,0,0,0,7392,3.0,6.0,0.0,175,599,45,1,0,0,0.0
273,11,1,1,36,31.6,6,1,13.2,44.2,15,90,11,14,0,0,0,718335,3.0,6.0,56.0,64524,45263,68,0,1,10,3.0
