name,team_x,assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,start_hour,minutes,opponent_team,opp_team_name,own_goals,penalties_missed,red_cards,selected,team_a_score,team_h_score,threat,transfers_in,transfers_out,value,was_home,yellow_cards,points,points_after
151,18,0,0,4,0,10.6,1,0,2.6,8.4,17,45,8,8,0,0,0,2216,1.0,0.0,7.0,30,75,44,1,1,0,0.0
518,0,0,0,8,0,1.8,1,0,1.0,8.4,15,90,19,25,0,0,0,3692181,1.0,2.0,0.0,257774,20723,55,1,1,1,1.0
47,8,0,0,0,0,0.0,0,0,0.0,0.0,17,0,15,18,0,0,0,13308,1.0,0.0,0.0,154,239,43,0,0,0,0.0
508,5,0,0,25,1,5.3,0,0,3.0,9.8,15,90,16,19,0,0,0,13399,0.0,5.0,15.0,1415,326,44,1,0,6,2.0
119,21,0,0,6,0,10.6,3,0,4.1,28.0,16,90,12,14,0,0,0,1013127,3.0,3.0,2.0,11601,44350,48,0,1,0,1.0
95,5,0,0,0,0,0.0,0,0,0.0,0.0,15,0,16,19,0,0,0,19691,0.0,5.0,0.0,187,687,44,1,0,0,0.0
250,13,0,0,0,0,0.0,0,0,0.0,0.0,15,0,3,3,0,0,0,4129,1.0,3.0,0.0,247,204,40,0,0,0,0.0
335,6,0,0,0,0,0.0,0,0,0.0,0.0,14,0,4,4,0,0,0,52052,2.0,3.0,0.0,367,8218,48,1,0,0,1.0
383,18,0,0,0,0,0.0,0,0,0.0,0.0,17,0,8,8,0,0,0,18749,1.0,0.0,0.0,401,382,43,1,0,0,0.0
177,16,0,0,0,0,0.0,0,0,0.0,0.0,20,0,13,15,0,0,0,1362,0.0,1.0,0.0,0,11,40,1,0,0,0.0
240,19,0,0,0,0,0.0,0,0,0.0,0.0,15,0,5,5,0,0,0,6886,0.0,5.0,0.0,41,194,43,0,0,0,0.0
29,24,0,0,0,0,0.0,0,0,0.0,0.0,14,0,7,7,0,0,0,9754,1.0,1.0,0.0,111,228,43,1,0,0,0.0
83,19,0,0,0,0,0.0,0,0,0.0,0.0,15,0,5,5,0,0,0,55359,0.0,5.0,0.0,69,2381,40,0,0,0,0.0
234,12,0,0,3,0,1.7,1,0,0.5,1.6,14,25,9,9,0,0,0,47915,3.0,4.0,2.0,1324,2376,45,1,0,1,6.0
50,24,0,0,0,0,0.0,0,0,0.0,0.0,14,0,7,7,0,0,0,6528,1.0,1.0,0.0,140,156,44,1,0,0,0.0
411,21,0,0,6,0,18.8,3,0,4.2,16.8,16,90,12,14,0,0,0,1353914,3.0,3.0,6.0,44574,66598,53,0,1,0,5.0
302,6,0,0,22,0,1.0,2,1,7.8,44.2,14,90,4,4,0,0,0,451811,2.0,3.0,33.0,7515,31090,45,1,0,7,1.0
243,18,0,0,0,0,0.0,0,0,0.0,0.0,17,0,8,8,0,0,0,7059,1.0,0.0,0.0,0,116,40,1,0,0,0.0
436,3,0,0,0,0,0.0,0,0,0.0,0.0,15,0,11,13,0,0,0,111184,1.0,3.0,0.0,45,3944,43,1,0,0,0.0
48,2,0,0,0,0,0.0,0,0,0.0,0.0,14,0,1,1,0,0,0,18115,2.0,2.0,0.0,462,484,40,1,0,0,0.0
17,21,0,0,0,0,0.0,0,0,0.0,0.0,16,0,12,14,0,0,0,804,3.0,3.0,0.0,293,65,40,0,0,0,0.0
225,16,0,0,0,0,0.0,0,0,0.0,0.0,20,0,13,15,0,0,0,4744,0.0,1.0,0.0,15,167,40,1,0,0,0.0
167,13,0,0,12,0,0.5,3,0,4.1,36.8,15,90,3,3,0,0,0,1587,1.0,3.0,4.0,209,187,44,0,0,1,6.0
290,24,0,0,0,0,0.0,0,0,0.0,0.0,14,0,7,7,0,0,0,198554,1.0,1.0,0.0,6360,8949,45,1,0,0,2.0
399,18,0,0,0,0,0.0,0,0,0.0,0.0,17,0,8,8,0,0,0,2092,1.0,0.0,0.0,0,17,44,1,0,0,0.0
235,21,0,0,0,0,0.0,0,0,0.0,0.0,16,0,12,14,0,0,0,7074,3.0,3.0,0.0,0,104,40,0,0,0,0.0
381,12,0,0,0,0,0.0,0,0,0.0,0.0,14,0,9,9,0,0,0,11689,3.0,4.0,0.0,0,218,40,1,0,0,0.0
211,2,0,0,0,0,0.0,0,0,0.0,0.0,14,0,1,1,0,0,0,13250,2.0,2.0,0.0,0,262,40,1,0,0,0.0
374,18,0,0,0,0,0.0,0,0,0.0,0.0,17,0,8,8,0,0,0,6534,1.0,0.0,0.0,557,307,45,1,0,0,1.0
410,16,0,0,0,0,0.0,0,0,0.0,0.0,20,0,13,15,0,0,0,39619,0.0,1.0,0.0,1537,1661,39,1,0,0,0.0
477,16,0,0,0,0,0.0,0,0,0.0,0.0,20,0,13,15,0,0,0,604204,0.0,1.0,0.0,247,50315,45,1,0,0,0.0
195,9,0,0,0,0,0.0,0,0,0.0,0.0,14,0,10,12,0,0,0,49115,3.0,4.0,0.0,23,1863,44,0,0,0,0.0
495,9,0,0,0,0,0.0,0,0,0.0,0.0,14,0,10,12,0,0,0,4102,3.0,4.0,0.0,48,44,43,0,0,0,6.0
497,12,1,3,41,0,33.7,3,1,10.6,47.2,14,90,9,9,0,0,0,956557,3.0,4.0,25.0,87464,10710,79,1,0,13,12.0
412,4,0,0,0,0,0.0,0,0,0.0,0.0,14,0,6,6,0,0,0,1669136,2.0,3.0,0.0,284,141300,50,0,0,0,0.0
199,19,0,0,16,0,0.5,5,0,2.2,17.0,15,90,5,5,0,0,0,9630,0.0,5.0,4.0,849,272,44,0,0,0,1.0
330,6,0,0,0,0,0.0,0,0,0.0,0.0,14,0,4,4,0,0,0,9620,2.0,3.0,0.0,131,184,43,1,0,0,0.0
370,21,0,0,0,0,0.0,0,0,0.0,0.0,16,0,12,14,0,0,0,201991,3.0,3.0,0.0,294,57711,45,0,0,0,0.0
309,15,0,0,0,0,0.0,0,0,0.0,0.0,20,0,14,16,0,0,0,242469,0.0,1.0,0.0,103,3878,47,0,0,0,0.0
192,2,0,0,13,0,0.2,2,0,2.4,20.0,14,90,1,1,0,0,0,12098,2.0,2.0,4.0,599,762,44,1,0,1,5.0
342,2,0,0,9,0,3.8,2,0,3.2,28.0,14,90,1,1,0,0,0,14775,2.0,2.0,0.0,783,512,43,1,1,0,14.0
108,16,0,0,0,0,0.0,0,0,0.0,0.0,20,0,13,15,0,0,0,375928,0.0,1.0,0.0,206,84180,45,1,0,0,0.0
232,7,0,0,17,0,18.0,1,0,4.7,23.2,14,90,18,24,0,0,0,2469189,1.0,1.0,6.0,38707,128848,52,0,0,2,1.0
19,6,0,0,0,0,0.0,0,0,0.0,0.0,14,0,4,4,0,0,0,1890,2.0,3.0,0.0,74,82,40,1,0,0,0.0
315,9,0,0,0,0,0.0,0,0,0.0,0.0,14,0,10,12,0,0,0,6714,3.0,4.0,0.0,127,132,40,0,0,0,0.0
